queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
326,案例E36,上海西岸璇心Orbit,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
327,案例E37,华润置地超级场馆运营,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
328,案例E38,成都春熙路voco酒店,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
329,案例E39,大同古城东南驿,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
330,案例E40,长沙观沙岭招商花园城,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
331,案例E41,深圳前海冰雪世界,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
332,案例E42,LV成都源野活动,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
333,案例E43,南昌万象城,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
334,案例E44,天津万象城,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
335,案例E45,武汉嘉佰汇,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
336,案例E46,广州悦汇城,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
337,案例E47,桔子酒店上海旗舰店,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
338,案例E48,曼谷伽利略绿洲（海外）,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
339,案例E49,MFG写字楼,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
340,案例E50,凯德广场·金牛,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
341,案例E51,深圳前海壹方城,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
342,案例E52,上海LV巨轮,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
343,案例E53,北京阿派朗创造力星球,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
344,案例E54,北京鼎好DH3,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
345,案例E55,成都天府大悦城,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
346,案例E56,锦和集团越界系列,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
347,案例E57,郑州亳都·新象,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
348,案例E58,The Exchange TRX Mall（海外）,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
349,案例E59,雄安寻环XLOOP,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
350,案例E60,东莞奇云广场,五、混合业态资产激活,待核验,高,P1,B014,未开始,未整理,
